Name,Pop.,Pop. Density (per km^2),Male Pop.,Female Pop.,Indigenous Identity,Indigenous Ancestry,Visible Minorities,Immigrants (place of birth),"No Certificate, Diploma or Degree",High School Diploma or Equiv.,"Post Secondary Certificate, Diploma or Degree",Employed,Unemployed,Avg. Income,Median Income,LICO-AT,Avg. Person per House,Avg. Household Income,Dwelling-Owned,Dwelling-Rented
AGASSIZ,605,614.4,295,290,40,60,200,85,15,130,405,305,25,48600,40800,155,2.4,99000,150,105
ALPINE PLACE,4045,12236.9,1800,2230,520,525,1460,1175,725,1050,1615,1420,245,36200,31800,640,1.8,52400,115,2165
AMBER TRAILS,9080,4223.7,4660,4435,280,265,7440,4945,865,1965,4335,4915,370,44000,36400,475,4,132400,1965,320
ARCHWOOD,775,811.6,420,340,145,155,160,50,130,190,365,515,40,46000,44000,70,2.1,84800,280,90
ARMSTRONG POINT,295,1391.1,110,135,15,0,0,10,0,30,235,155,0,86000,70500,0,2.2,168000,115,20
ASSINIBOIA DOWNS,520,106,255,225,75,25,0,10,45,65,310,275,10,112800,70500,0,2.8,236000,190,0
BEAUMONT,2360,1916,1200,1145,305,305,555,380,250,560,1170,1235,115,50400,45200,155,2.6,105000,760,165
BETSWORTH,3970,1853.9,1970,1975,250,290,330,340,345,975,2140,2040,110,61750,50400,105,2.6,133600,1475,60
BIRCHWOOD,1890,2683.6,910,985,200,205,345,290,260,505,975,910,85,50280,43200,125,1.7,78800,315,770
BOOTH,5660,2914.4,2730,2935,940,965,790,720,655,1680,2500,2585,250,45920,40400,565,2.1,78600,1125,1605
BRIDGWATER CENTRE,1165,384.1,570,565,35,20,840,415,80,170,660,640,40,46200,37200,235,2.7,93600,340,85
BRIDGWATER FOREST,5295,2754.3,2670,2620,120,125,3185,2260,305,965,2860,2820,245,97800,40400,550,3.1,223800,1310,410
BRIDGWATER LAKES,3795,1217,1940,1865,150,170,2590,1610,225,600,1940,1940,185,61600,43200,550,3.5,147600,1025,70
