Month of Report Date,Name,Count
Jan-13,ELM PARK,1
Jan-13,BROOKLANDS,1
Jan-13,WEST ALEXANDER,1
Jan-13,SOUTH PORTAGE,1
Jan-13,SPENCE,1
Jan-13,WEST ALEXANDER,1
Jan-13,CIVIC CENTRE,1
Jan-13,LOGAN-C.P.R.,1
Jan-13,SPENCE,1
Jan-13,SOUTH POINT DOUGLAS,1
Jan-13,WEST ALEXANDER,1
Jan-13,SOUTH PORTAGE,1
Jan-13,WOLSELEY,1
Jan-13,PORTAGE-ELLICE,1
Jan-13,SPENCE,1
Jan-13,PORTAGE-ELLICE,1
Jan-13,COLONY,1
Jan-13,SOUTH POINT DOUGLAS,1
Jan-13,LOGAN-C.P.R.,1
Jan-13,CENTRAL PARK,1
Jan-13,WEST BROADWAY,1
Jan-13,WEST BROADWAY,1
Jan-13,PORTAGE & MAIN,1
Jan-13,CENTENNIAL,1
Jan-13,WEST ALEXANDER,1
Jan-13,WEST ALEXANDER,1
Jan-13,SOUTH PORTAGE,1
Jan-13,SOUTH PORTAGE,1
Jan-13,SOUTH PORTAGE,1
Jan-13,SOUTH PORTAGE,1
Jan-13,SOUTH PORTAGE,1
Jan-13,WOLSELEY,1
Jan-13,SPENCE,1
Jan-13,WEST BROADWAY,1
Jan-13,CENTENNIAL,1
Jan-13,CENTENNIAL,1
Jan-13,CENTENNIAL,1
Jan-13,LEGISLATURE,1
Jan-13,WEST ALEXANDER,1
Jan-13,WEST ALEXANDER,1
Jan-13,WEST ALEXANDER,1
Jan-13,WEST ALEXANDER,1
Jan-13,WEST ALEXANDER,1
Jan-13,ST. MATTHEWS,1
Jan-13,ST. MATTHEWS,1
Jan-13,ST. MATTHEWS,1
Jan-13,ST. MATTHEWS,1
Jan-13,ST. MATTHEWS,1
Jan-13,ST. MATTHEWS,1
Jan-13,SOUTH PORTAGE,1
Jan-13,SOUTH PORTAGE,1
Jan-13,SOUTH PORTAGE,1
Jan-13,SOUTH PORTAGE,1
Jan-13,WOLSELEY,1
Jan-13,WOLSELEY,1
Jan-13,SPENCE,1
Jan-13,SPENCE,1
Jan-13,CENTRAL PARK,1
Jan-13,CENTRAL PARK,1
Jan-13,CENTRAL PARK,1
Jan-13,CENTRAL PARK,1
Jan-13,PORTAGE-ELLICE,1
Jan-13,PORTAGE-ELLICE,1
Jan-13,PORTAGE-ELLICE,1
Jan-13,BROADWAY-ASSINIBOINE,1
Jan-13,SPENCE,2
Jan-13,PORTAGE-ELLICE,2
Jan-13,WESTON,1
Jan-13,WESTON,1
Jan-13,WESTON,1
Jan-13,WESTON,1
Jan-13,WESTON,1
Jan-13,WESTON,1
Jan-13,SOUTH POINT DOUGLAS,1
Jan-13,SOUTH POINT DOUGLAS,1
Jan-13,SOUTH POINT DOUGLAS,1
Jan-13,SPENCE,1
Jan-13,PORTAGE & MAIN,1
Jan-13,MINTO,1
Jan-13,MAYBANK,1
Jan-13,LINDEN WOODS,1
Jan-13,CRESTVIEW,1
Jan-13,ST. JAMES INDUSTRIAL,1
Jan-13,WESTWOOD,1
Jan-13,TUXEDO,1
Jan-13,POLO PARK,1
Jan-13,MINTO,1
Jan-13,BROOKLANDS,1
Jan-13,CENTRAL RIVER HEIGHTS,1
Jan-13,EBBY-WENTWORTH,1
Jan-13,OLD TUXEDO,1
Jan-13,EDGELAND,1
Jan-13,ELMHURST,1
Jan-13,MINTO,1
Jan-13,POLO PARK,1
Jan-13,PEMBINA STRIP,1
Jan-13,FORT RICHMOND,1
Jan-13,FORT RICHMOND,1
Jan-13,FORT RICHMOND,1
Jan-13,ST. NORBERT,1
Jan-13,GRANT PARK,1
Jan-13,LORD ROBERTS,1
Jan-13,LORD ROBERTS,1
Jan-13,LORD ROBERTS,1
Jan-13,LORD ROBERTS,1
Jan-13,RIVERVIEW,1
Jan-13,EARL GREY,1
Jan-13,GRANT PARK,1
Jan-13,KING EDWARD,1
Jan-13,KING EDWARD,1
Jan-13,DEER LODGE,1
Jan-13,CRESTVIEW,1
Jan-13,MINTO,1
Jan-13,GRANT PARK,1
Jan-13,ASSINIBOIA DOWNS,1
Jan-13,INKSTER-FARADAY,1
Jan-13,BURROWS CENTRAL,1
Jan-13,JEFFERSON,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,NORTH POINT DOUGLAS,1
Jan-13,SEVEN OAKS,1
Jan-13,AMBER TRAILS,1
Jan-13,WILLIAM WHYTE,1
Jan-13,LORD SELKIRK PARK,1
Jan-13,OAK POINT HIGHWAY,1
Jan-13,JEFFERSON,1
Jan-13,SEVEN OAKS,1
Jan-13,BURROWS-KEEWATIN,1
Jan-13,TYNDALL PARK,1
Jan-13,INKSTER INDUSTRIAL PARK,1
Jan-13,WILLIAM WHYTE,1
Jan-13,INKSTER-FARADAY,1
Jan-13,BURROWS CENTRAL,1
Jan-13,BURROWS CENTRAL,1
Jan-13,DUFFERIN,1
Jan-13,DUFFERIN,1
Jan-13,DUFFERIN INDUSTRIAL,1
Jan-13,LUXTON,1
Jan-13,ST. JOHN'S,1
Jan-13,ST. JOHN'S,1
Jan-13,ST. JOHN'S,1
Jan-13,ST. JOHN'S,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,WILLIAM WHYTE,1
Jan-13,LORD SELKIRK PARK,1
Jan-13,LORD SELKIRK PARK,1
Jan-13,LORD SELKIRK PARK,1
Jan-13,LORD SELKIRK PARK,1
Jan-13,BURROWS CENTRAL,1
Jan-13,DUFFERIN,1
Jan-13,DUFFERIN,1
Jan-13,NORTH POINT DOUGLAS,1
Jan-13,NORTH POINT DOUGLAS,1
Jan-13,DUFFERIN,2
Jan-13,MANDALAY WEST,1
Jan-13,MANDALAY WEST,1
Jan-13,SEVEN OAKS,1
Jan-13,TEMPLETON-SINCLAIR,1
Jan-13,JEFFERSON,1
Jan-13,SEVEN OAKS,1
Jan-13,CHALMERS,1
Jan-13,CHALMERS,1
Jan-13,ELM PARK,1
Jan-13,ST. VITAL CENTRE,1
Jan-13,TALBOT-GREY,1
Jan-13,NORWOOD EAST,1
Jan-13,ST. VITAL CENTRE,1
Jan-13,WORTHINGTON,1
Jan-13,ST. VITAL CENTRE,1
Feb-13,SPENCE,1
Feb-13,WEST BROADWAY,1
Feb-13,EXCHANGE DISTRICT,1
Feb-13,SPENCE,1
Feb-13,PORTAGE-ELLICE,1
Feb-13,PORTAGE-ELLICE,1
Feb-13,PORTAGE-ELLICE,1
Feb-13,PORTAGE-ELLICE,1
Feb-13,PORTAGE-ELLICE,1
Feb-13,SOUTH POINT DOUGLAS,1
Feb-13,COLONY,1
Feb-13,WEST ALEXANDER,1
