name,Month of Report Date,count
AGASSIZ,Jun-13Jul-16Jul-16Oct-16Mar-18Mar-18May-18Jul-18Jul-18Oct-18Oct-19Dec-19Jun-21Jun-21Jul-21Aug-21Sep-21Sep-21Oct-22Oct-22Nov-22Nov-22Dec-22Jan-23Feb-23Feb-23Apr-23Apr-23May-23May-23Jun-23Jul-23Jul-23Jul-23Jul-23Aug-23Aug-23Sep-23Sep-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Dec-23Dec-23Dec-23Dec-23Dec-23Feb-24Mar-24Apr-24Apr-24May-24May-24Jun-24Jun-24Jun-24Jun-24Jun-24Jul-24Jul-24Aug-24Aug-24Aug-24Aug-24Aug-24,70
AIRPORT,Feb-13Feb-13Mar-13Apr-13May-13Aug-13Aug-13Aug-13Oct-13Oct-13Nov-13Jan-14Jan-14Feb-14Feb-14May-14Jun-14Jun-14Jun-14Jul-14Oct-14Oct-14Nov-14Mar-15Jul-15Oct-15Nov-15Nov-15Nov-15Dec-15Jun-16Nov-16Oct-17Nov-17Dec-17Feb-18Jun-18Oct-18Oct-18Mar-19Mar-19Mar-19Apr-19May-19Aug-19Sep-19Jan-20Jan-20Jul-20Jul-20Jul-20Aug-20Oct-20Oct-20Jan-21Jul-21Jul-21Nov-21Dec-21Dec-21Mar-22May-22May-22May-22May-22May-22May-22May-22May-22May-22May-22May-22May-22May-22May-22May-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Sep-22Oct-22Oct-22Oct-22Oct-22Nov-22Dec-22Dec-22Jan-23Jan-23Jan-23Jan-23Jan-23Feb-23Feb-23Feb-23Feb-23Feb-23Feb-23Feb-23Mar-23Mar-23Mar-23Mar-23Apr-23Apr-23Apr-23Apr-23Apr-23Apr-23Apr-23Apr-23Apr-23May-23May-23May-23May-23May-23May-23Jun-23Jun-23Jun-23Jun-23Jun-23Jul-23Aug-23Aug-23Aug-23Aug-23Aug-23Sep-23Sep-23Sep-23Oct-23Nov-23Nov-23Nov-23Nov-23Nov-23Dec-23Dec-23Dec-23Feb-24Feb-24Feb-24Feb-24Feb-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Apr-24Apr-24Apr-24Apr-24Apr-24May-24May-24May-24Jun-24Jun-24Jun-24Jun-24Jun-24Jul-24Jul-24Jul-24Jul-24Jul-24Jul-24Aug-24Aug-24Aug-24Aug-24Aug-24Aug-24Aug-24Aug-24Aug-24,228
ALPINE PLACE,Mar-13Feb-14Aug-14Mar-16Aug-16Dec-16Mar-18Apr-18Mar-19May-19Apr-20Apr-20Apr-20Apr-20Nov-20Nov-20Nov-20Feb-21Feb-21Mar-21Mar-21Mar-21Mar-21May-21Jun-21Jun-21Jul-21Jul-21Aug-21Aug-21Aug-21Oct-21Nov-21Jan-22Jan-22Jan-22Jan-22Jan-22Feb-22Mar-22Mar-22Mar-22Mar-22Apr-22Apr-22May-22May-22May-22May-22May-22May-22May-22May-22Jun-22Jun-22Jul-22Jul-22Jul-22Jul-22Jul-22Aug-22Aug-22Aug-22Aug-22Sep-22Sep-22Sep-22Sep-22Sep-22Sep-22Sep-22Sep-22Oct-22Oct-22Oct-22Oct-22Oct-22Oct-22Nov-22Nov-22Nov-22Nov-22Nov-22Nov-22Nov-22Nov-22Nov-22Nov-22Nov-22Dec-22Dec-22Dec-22Dec-22Dec-22Dec-22Dec-22Dec-22Jan-23Jan-23Jan-23Jan-23Jan-23Jan-23Feb-23Feb-23Feb-23Feb-23Feb-23Mar-23Mar-23Mar-23Mar-23Mar-23Apr-23Apr-23Apr-23Apr-23Apr-23Apr-23May-23May-23May-23May-23May-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Sep-23Sep-23Sep-23Sep-23Sep-23Sep-23Sep-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Nov-23Nov-23Nov-23Nov-23Dec-23Dec-23Dec-23Dec-23Dec-23Dec-23Jan-24Jan-24Jan-24Jan-24Jan-24Jan-24Feb-24Feb-24Feb-24Feb-24Feb-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24May-24May-24May-24May-24May-24May-24Jun-24Jun-24Jun-24Jun-24Jun-24Jun-24Jun-24Jul-24Jul-24Jul-24Jul-24Jul-24Jul-24Jul-24Jul-24Jul-24Jul-24Jul-24Aug-24Aug-24Aug-24Aug-24Aug-24Aug-24Aug-24Aug-24Aug-24,263
AMBER TRAILS,Jan-13Feb-13Jun-13Jun-13Jan-17Mar-17Mar-17Mar-17Mar-17Mar-17Mar-17Mar-17Apr-17Apr-17Apr-17May-17May-17Jun-17Jun-17Jun-17Jun-17Jun-17Jun-17Jun-17Jun-17Jul-17Jul-17Jul-17Jul-17Jul-17Jul-17Jul-17Jul-17Jul-17Jul-17Jul-17Aug-17Aug-17Sep-17Sep-17Oct-17Oct-17Oct-17Oct-17Nov-17Nov-17Dec-17Dec-17Dec-17Dec-17Dec-17Jan-18Jan-18Feb-18Feb-18Mar-18Mar-18Mar-18Mar-18Mar-18Mar-18Apr-18Apr-18May-18May-18Jun-18Jun-18Jul-18Jul-18Jul-18Jul-18Jul-18Jul-18Jul-18Jul-18Aug-18Aug-18Aug-18Aug-18Aug-18Aug-18Aug-18Sep-18Oct-18Oct-18Oct-18Oct-18Oct-18Nov-18Nov-18Nov-18Nov-18Nov-18Dec-18Dec-18Dec-18Dec-18Dec-18Dec-18Dec-18Dec-18Dec-18Jan-19Jan-19Jan-19Jan-19Jan-19Jan-19Jan-19Jan-19Jan-19Feb-19Feb-19Feb-19Feb-19Feb-19Feb-19Feb-19Mar-19Mar-19Mar-19Mar-19Mar-19Mar-19Apr-19Apr-19Apr-19Apr-19Apr-19May-19May-19May-19May-19May-19May-19May-19Jun-19Jun-19Jun-19Jul-19Jul-19Jul-19Jul-19Jul-19Jul-19Jul-19Jul-19Jul-19Aug-19Aug-19Aug-19Aug-19Aug-19Aug-19Aug-19Aug-19Sep-19Oct-19Oct-19Oct-19Oct-19Oct-19Oct-19Oct-19Nov-19Nov-19Nov-19Nov-19Nov-19Nov-19Nov-19Nov-19Nov-19Nov-19Nov-19Dec-19Dec-19Dec-19Dec-19Jan-20Jan-20Jan-20Jan-20Jan-20Jan-20Jan-20Jan-20Feb-20Feb-20Mar-20Mar-20Jun-20Jun-20Jun-20Jun-20Jun-20Jul-20Jul-20Jul-20Jul-20Jul-20Jul-20Jul-20Jul-20Aug-20Aug-20Aug-20Aug-20Aug-20Aug-20Aug-20Aug-20Aug-20Sep-20Sep-20Sep-20Sep-20Sep-20Sep-20Sep-20Oct-20Oct-20Oct-20Oct-20Oct-20Nov-20Nov-20Nov-20Nov-20Nov-20Nov-20Nov-20Nov-20Dec-20Dec-20Dec-20Jan-21Jan-21Jan-21Jan-21Feb-21Feb-21Feb-21Feb-21Feb-21Feb-21Mar-21Mar-21Mar-21Mar-21Apr-21Apr-21May-21Jun-21Jun-21Jun-21Jun-21Jul-21Jul-21Jul-21Aug-21Aug-21Aug-21Aug-21Aug-21Aug-21Aug-21Sep-21Oct-21Oct-21Oct-21Nov-21Nov-21Dec-21Dec-21Dec-21Jan-22Jan-22Jan-22Jan-22Feb-22Feb-22Feb-22Feb-22Mar-22Mar-22Mar-22Mar-22Apr-22Apr-22Sep-22Sep-22Sep-22Sep-22Sep-22Sep-22Sep-22Sep-22Oct-22Oct-22Oct-22Oct-22Oct-22Nov-22Nov-22Nov-22Nov-22Dec-22Dec-22Dec-22Jan-23Jan-23Jan-23Jan-23Jan-23Feb-23Feb-23Feb-23Feb-23Feb-23Feb-23Mar-23Mar-23Apr-23Apr-23Apr-23Apr-23May-23May-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Aug-23Sep-23Sep-23Sep-23Sep-23Sep-23Sep-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Oct-23Nov-23Nov-23Nov-23Nov-23Dec-23Dec-23Dec-23Dec-23Jan-24Jan-24Jan-24Jan-24Jan-24Jan-24Feb-24Feb-24Feb-24Feb-24Feb-24Feb-24Feb-24Feb-24Feb-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Mar-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24May-24May-24Jun-24Jun-24Jul-24Jul-24Jul-24Jul-24Jul-24Jul-24Aug-24Aug-24Aug-24Aug-24,454
ARCHWOOD,May-22May-22May-22May-22May-22May-22May-22May-22May-22Jul-22Jul-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Oct-22Oct-22Oct-22Oct-22Nov-22Nov-22Nov-22Dec-22Dec-22Dec-22Feb-23Feb-23Mar-23Jul-23Jul-23Jul-23Aug-23Sep-23Sep-23Oct-23Nov-23Nov-23Nov-23Dec-23Dec-23Jan-24Jan-24Mar-24Mar-24Mar-24Mar-24Apr-24May-24May-24May-24Jun-24Jun-24Jun-24Jul-24Jul-24Aug-24Aug-24Aug-24Aug-24,70
ARMSTRONG POINT,Apr-14Oct-14Oct-16May-19Aug-19Sep-20Sep-20Sep-20Dec-21Sep-22Sep-22Sep-22Sep-22Sep-22Sep-22Oct-22Oct-22Oct-22Oct-22Oct-22Nov-22Nov-22Dec-22Mar-23Apr-23May-23May-23Jun-23Jul-23Aug-23Aug-23Oct-23Nov-23Nov-23Nov-23Jan-24May-24May-24Jun-24Jul-24Jul-24Aug-24Aug-24,43
ASSINIBOIA DOWNS,Jan-13May-13Jun-13Jun-13Oct-16May-18Jun-20Oct-21May-22May-22May-22May-22May-22May-22May-22May-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jul-22Jul-22Aug-22Aug-22Sep-22Sep-22Sep-22Sep-22Oct-22Nov-22Nov-22Nov-22Dec-22Dec-22Dec-22Feb-23Mar-23Apr-23Apr-23May-23May-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jul-23Jul-23Jul-23Jul-23Aug-23Aug-23Sep-23Oct-23Nov-23Nov-23Nov-23Nov-23Dec-23Dec-23Jan-24Jan-24Feb-24Feb-24Feb-24Feb-24Mar-24Mar-24Apr-24Apr-24Apr-24May-24May-24May-24May-24Jun-24Jun-24Jun-24Jun-24Jun-24Jun-24Jun-24Jul-24Jul-24Aug-24Aug-24Aug-24Aug-24Aug-24,107
ASSINIBOINE PARK,Nov-14Jan-15Oct-15May-17Apr-18May-18Sep-18Mar-19Apr-20Nov-20Mar-22May-22May-22May-22May-22May-22May-22May-22May-22May-22May-22May-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Jul-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Aug-22Sep-22Sep-22Sep-22Feb-23Mar-23Apr-23Jun-23Jul-23Aug-23Aug-23Aug-23Aug-23Sep-23Sep-23Nov-23Dec-23Jan-24Mar-24Apr-24Apr-24Jul-24Jul-24Aug-24,113
BEAUMONT,Sep-13Oct-13Jan-14Jul-14Sep-14Sep-14Jun-15Sep-15Sep-15Sep-15Sep-15Feb-16Mar-16Apr-16Apr-16May-16Nov-16Feb-17Apr-17Apr-17Apr-17May-17Jun-17Aug-17Sep-17Sep-17Oct-17Nov-17Dec-17Feb-18Feb-18Apr-18May-18May-18May-18May-18May-18Jun-18Jun-18Jun-18Jul-18Aug-18Aug-18Oct-18Apr-19May-19May-19Jul-19Aug-19Nov-19Nov-19Nov-19Dec-19Jan-20Jan-20Jan-20Feb-20Feb-20Mar-20Apr-20Apr-20Apr-20May-20May-20Sep-20Nov-20Nov-20Dec-20Dec-20Jan-21Jan-21Mar-21Jun-21Jul-21Jul-21Aug-21Aug-21Sep-21Oct-21Jan-22Jan-22Jan-22Jan-22Feb-22May-22Jun-22Jul-22Jul-22Aug-22Sep-22Sep-22Sep-22Sep-22Sep-22Sep-22Oct-22Oct-22Oct-22Oct-22Oct-22Oct-22Oct-22Oct-22Nov-22Nov-22Nov-22Nov-22Nov-22Nov-22Nov-22Dec-22Dec-22Dec-22Dec-22Dec-22Dec-22Jan-23Jan-23Jan-23Jan-23Jan-23Jan-23Jan-23Feb-23Feb-23Mar-23Mar-23Mar-23Mar-23Mar-23Apr-23Apr-23Apr-23Apr-23Apr-23Apr-23Apr-23Apr-23May-23May-23May-23May-23May-23May-23May-23May-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jun-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Jul-23Aug-23Aug-23Aug-23Aug-23Sep-23Oct-23Oct-23Oct-23Oct-23Nov-23Nov-23Nov-23Nov-23Nov-23Nov-23Dec-23Dec-23Dec-23Dec-23Jan-24Jan-24Jan-24Jan-24Jan-24Jan-24Jan-24Feb-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24Apr-24May-24May-24May-24May-24May-24Jun-24Jun-24Jun-24Jun-24Jul-24Jul-24Jul-24Jul-24Jul-24Aug-24Aug-24Aug-24,221
BETSWORTH,Oct-13Oct-14Jan-15May-15Jun-15Jul-15Jul-15Nov-15Nov-15Apr-16Oct-16Oct-16Jan-17Mar-17Mar-18Aug-18Jun-20Aug-20Dec-20Dec-20Apr-21Jun-21Sep-21Nov-21Feb-22Apr-22May-22May-22May-22May-22May-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jun-22Jul-22Jul-22Jul-22Jul-22Aug-22Aug-22Aug-22Aug-22Aug-22Sep-22Sep-22Sep-22Sep-22Oct-22Oct-22Oct-22Oct-22Oct-22Nov-22Dec-22Dec-22Dec-22Feb-23Feb-23Mar-23Mar-23Mar-23Mar-23Mar-23Apr-23May-23May-23May-23May-23May-23May-23Jun-23Jul-23Jul-23Aug-23Oct-23Oct-23Oct-23Oct-23Nov-23Nov-23Nov-23Dec-23Dec-23Jan-24Jan-24Feb-24Feb-24Feb-24Feb-24Mar-24Apr-24Apr-24Jun-24Jun-24Jul-24Jul-24Aug-24Aug-24,105
